,0,1,2,3,4,5,6,7,8,9
0,ce,n,est,pas,un,ami,a,moi,.,</EOS>
1,je,suis,heureuse,de,t,avoir,invite,.,</EOS>,</PAD>
2,elle,va,mieux,de,jour,en,jour,.,</EOS>,</PAD>
3,il,se,promene,en,sous,vetements,.,</EOS>,</PAD>,</PAD>
4,tu,as,fini,de,travailler,non,?,</EOS>,</PAD>,</PAD>
5,il,est,vraiment,en,bonne,forme,.,</EOS>,</PAD>,</PAD>
6,je,suis,toujours,furieux,apres,elle,.,</EOS>,</PAD>,</PAD>
7,je,n,en,suis,pas,contente,.,</EOS>,</PAD>,</PAD>
8,c,est,une,gentille,fille,.,</EOS>,</PAD>,</PAD>,</PAD>
9,je,suis,tres,pauvre,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
10,nous,sommes,toutes,etudiantes,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
11,il,est,nerveusement,use,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
12,vous,etes,tres,occupees,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
13,je,retourne,en,fac,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
14,vous,etes,grandes,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
15,il,est,idiot,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
16,il,en,a,marre,de,mes,problemes,.,</EOS>,</EOS>
17,je,ne,vais,pas,perdre,mon,temps,.,</EOS>,</EOS>
18,je,suis,surpris,de,te,voir,.,</EOS>,</PAD>,</EOS>
19,vous,etes,en,retard,ce,matin,.,</EOS>,</PAD>,</EOS>
20,elles,sont,dans,la,mouise,.,</EOS>,</PAD>,</PAD>,</EOS>
21,j,irai,la,voir,demain,.,</EOS>,</PAD>,</PAD>,</EOS>
22,je,suis,tres,satisfait,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
23,on,nous,fait,chanter,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
24,nous,sommes,toutes,celibataires,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
25,vous,etes,fort,contrariee,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
26,vous,etes,fort,sceptique,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
27,tu,es,tres,contrariee,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
28,nous,sommes,fortes,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
29,il,est,drogue,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
30,elle,l,ecoute,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
31,ca,va,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
32,tu,n,es,pas,autorisee,a,penetrer,ici,.,</EOS>
33,j,ai,vraiment,besoin,de,ton,aide,.,</EOS>,</PAD>
34,vous,etes,deprime,n,est,ce,pas,?,</EOS>,</PAD>
35,nous,n,en,sommes,pas,entierement,sures,.,</EOS>,</PAD>
36,je,ne,suis,pas,si,preoccupee,.,</EOS>,</PAD>,</PAD>
37,vous,etes,bon,avec,les,enfants,.,</EOS>,</PAD>,</PAD>
38,nous,n,allons,nulle,part,.,</EOS>,</PAD>,</PAD>,</PAD>
39,je,suis,attiree,par,lui,.,</EOS>,</PAD>,</PAD>,</PAD>
40,je,suis,depourvu,de,talent,.,</EOS>,</PAD>,</PAD>,</PAD>
41,nous,nous,faisons,du,souci,.,</EOS>,</PAD>,</PAD>,</PAD>
42,il,est,son,propre,maitre,.,</EOS>,</PAD>,</PAD>,</PAD>
43,il,est,extremement,heureux,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
44,je,suis,tres,impressionnee,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
45,nous,sommes,amis,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
46,tu,es,astucieuse,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
47,je,suis,prudente,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
48,je,me,rejouis,que,tu,sois,mon,amie,.,</EOS>
49,je,ne,suis,pas,aussi,occupe,que,tom,.,</EOS>
50,j,en,ai,marre,d,ecouter,ses,plaintes,.,</EOS>
51,nous,en,avons,completement,termine,ici,.,</EOS>,</PAD>,</PAD>
52,il,est,plus,fort,que,jamais,.,</EOS>,</PAD>,</PAD>
53,c,est,toi,la,prof,.,</EOS>,</PAD>,</PAD>,</PAD>
54,je,ne,suis,pas,satisfait,.,</EOS>,</PAD>,</PAD>,</PAD>
55,il,est,avide,et,impitoyable,.,</EOS>,</PAD>,</PAD>,</PAD>
56,tu,es,le,plus,vieux,.,</EOS>,</PAD>,</PAD>,</PAD>
57,nous,n,y,allons,pas,.,</EOS>,</PAD>,</PAD>,</PAD>
58,vous,etes,un,petit,menteur,.,</EOS>,</PAD>,</PAD>,</PAD>
59,tu,n,es,pas,medecin,.,</EOS>,</PAD>,</PAD>,</PAD>
60,elles,sont,en,avance,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
61,il,est,fort,courageux,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
62,je,suis,assez,heureux,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
