,0,1,2,3,4,5,6,7,8,9
0,he,is,no,friend,of,mine,.,</EOS>,</PAD>,</EOS>
1,i,m,glad,i,invited,you,.,</EOS>,</PAD>,</EOS>
2,she,is,getting,better,day,by,day,.,</EOS>,</EOS>
3,he,s,walking,around,in,his,underwear,.,</EOS>,</EOS>
4,you,re,done,working,aren,t,you,?,</EOS>,</EOS>
5,he,s,really,in,good,shape,.,</EOS>,</PAD>,</EOS>
6,i,m,still,mad,at,her,.,</EOS>,</PAD>,</EOS>
7,i,m,not,happy,about,it,.,</EOS>,</PAD>,</EOS>
8,she,s,a,sweet,girl,.,</EOS>,</PAD>,</PAD>,</EOS>
9,i,m,very,poor,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
10,we,re,all,students,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
11,he,s,a,nervous,wreck,.,</EOS>,</PAD>,</PAD>,</EOS>
12,you,re,very,busy,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
13,i,m,going,back,to,college,.,</EOS>,</PAD>,</EOS>
14,you,re,big,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
15,he,is,foolish,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
16,he,is,fed,up,with,my,problems,.,</EOS>,</EOS>
17,i,m,not,wasting,my,time,.,</EOS>,</PAD>,</EOS>
18,i,m,surprised,to,see,you,.,</EOS>,</PAD>,</EOS>
19,you,are,late,this,morning,.,</EOS>,</PAD>,</PAD>,</EOS>
20,they,re,in,trouble,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
21,i,m,going,to,see,her,tomorrow,.,</EOS>,</EOS>
22,i,am,very,pleased,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
23,we,re,being,blackmailed,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
24,we,re,all,single,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
25,you,re,very,upset,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
26,you,re,very,skeptical,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
27,you,re,very,upset,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>
28,we,re,strong,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
29,he,s,addicted,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
30,she,is,listening,to,him,.,</EOS>,</PAD>,</PAD>,</EOS>
31,i,m,ok,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</EOS>
32,you,re,not,allowed,in,here,.,</EOS>,</PAD>,</PAD>
33,i,am,badly,in,need,of,your,help,.,</EOS>
34,you,re,depressed,aren,t,you,?,</EOS>,</PAD>,</PAD>
35,we,re,not,entirely,sure,.,</EOS>,</PAD>,</PAD>,</PAD>
36,i,m,not,that,worried,.,</EOS>,</PAD>,</PAD>,</PAD>
37,you,re,good,with,kids,.,</EOS>,</PAD>,</PAD>,</PAD>
38,we,re,not,getting,anywhere,.,</EOS>,</PAD>,</PAD>,</PAD>
39,i,m,attracted,to,him,.,</EOS>,</PAD>,</PAD>,</PAD>
40,i,m,untalented,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
41,we,re,worried,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
42,he,is,his,own,master,.,</EOS>,</PAD>,</PAD>,</PAD>
43,he,s,extremely,happy,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
44,i,m,very,impressed,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
45,we,re,friends,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
46,you,re,crafty,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
47,i,m,careful,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
48,i,m,glad,you,re,my,friend,.,</EOS>,</PAD>
49,i,m,not,as,busy,as,tom,.,</EOS>,</PAD>
50,i,m,sick,of,listening,to,her,complaints,.,</EOS>
51,we,re,all,done,here,.,</EOS>,</PAD>,</PAD>,</PAD>
52,he,is,stronger,than,ever,.,</EOS>,</PAD>,</PAD>,</PAD>
53,you,re,the,teacher,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
54,i,m,dissatisfied,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
55,he,s,greedy,and,ruthless,.,</EOS>,</PAD>,</PAD>,</PAD>
56,you,re,the,oldest,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
57,we,re,not,going,there,.,</EOS>,</PAD>,</PAD>,</PAD>
58,you,re,a,little,liar,.,</EOS>,</PAD>,</PAD>,</PAD>
