,0,1,2,3,4,5,6,7,8,9
0,he,is,no,ordinary,friend,of,mine,.,</EOS>,</EOS>
1,i,m,glad,i,invited,you,.,</EOS>,</EOS>,</EOS>
2,she,is,getting,in,trouble,of,water,.,</EOS>,</EOS>
3,he,s,in,good,terms,.,</EOS>,.,</EOS>,</EOS>
4,you,re,done,working,aren,t,you,?,</EOS>,</EOS>
5,he,s,really,good,at,singing,.,</EOS>,</EOS>,</EOS>
6,i,m,always,at,all,.,</EOS>,.,</EOS>,</EOS>
7,i,m,not,happy,.,</EOS>,.,</EOS>,</EOS>,</EOS>
8,she,is,a,kind,girl,.,</EOS>,.,</EOS>,</EOS>
9,i,m,very,poor,.,</EOS>,.,</EOS>,</EOS>,</EOS>
10,we,re,all,students,.,</EOS>,.,</EOS>,</EOS>,</EOS>
11,he,s,a,nervous,wreck,.,</EOS>,.,</EOS>,</EOS>
12,you,re,very,busy,.,</EOS>,.,</EOS>,</EOS>,</EOS>
13,i,m,going,back,.,</EOS>,.,</EOS>,</EOS>,</EOS>
14,you,are,big,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
15,he,s,a,fool,.,</EOS>,.,</EOS>,</EOS>,</EOS>
16,he,is,in,need,of,driving,.,</EOS>,</EOS>,</EOS>
17,i,m,not,going,to,wasting,my,time,</EOS>,</EOS>
18,i,m,surprised,to,see,you,.,</EOS>,</EOS>,</EOS>
19,you,are,late,about,your,morning,.,</EOS>,</EOS>,</EOS>
20,they,re,in,trouble,.,</EOS>,.,</EOS>,</EOS>,</EOS>
21,i,m,leaving,for,him,.,</EOS>,.,</EOS>,</EOS>
22,i,m,very,satisfied,.,</EOS>,.,</EOS>,</EOS>,</EOS>
23,we,re,being,blackmailed,.,</EOS>,.,</EOS>,</EOS>,</EOS>
24,we,re,all,single,.,</EOS>,.,</EOS>,</EOS>,</EOS>
25,you,re,very,upset,.,</EOS>,.,</EOS>,</EOS>,</EOS>
26,you,re,very,skeptical,.,</EOS>,.,</EOS>,</EOS>,</EOS>
27,you,re,very,upset,.,</EOS>,.,</EOS>,</EOS>,</EOS>
28,we,re,strong,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
29,he,is,my,girlfriend,.,</EOS>,.,</EOS>,</EOS>,</EOS>
30,she,studies,him,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
31,i,m,fine,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
32,you,re,not,allowed,in,here,.,</EOS>,</EOS>,</EOS>
33,i,m,really,pleased,with,your,help,.,</EOS>,</EOS>
34,you,re,depressed,aren,t,you,?,</EOS>,</EOS>,</EOS>
35,we,re,not,entirely,sure,.,</EOS>,.,</EOS>,</EOS>
36,i,m,not,that,worried,.,</EOS>,.,</EOS>,</EOS>
37,you,are,good,friends,.,</EOS>,.,</EOS>,</EOS>,</EOS>
38,we,re,not,going,anywhere,.,</EOS>,.,</EOS>,</EOS>
39,i,m,glad,to,him,.,</EOS>,.,</EOS>,</EOS>
40,i,m,untalented,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
41,we,re,going,to,the,movies,.,</EOS>,</EOS>,</EOS>
42,he,is,his,friend,.,</EOS>,.,</EOS>,</EOS>,</EOS>
43,he,is,extremely,happy,.,</EOS>,.,</EOS>,</EOS>,</EOS>
44,i,m,definitely,impressed,.,</EOS>,.,</EOS>,</EOS>,</EOS>
45,we,re,contented,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
46,you,re,crafty,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
47,i,m,careful,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
48,i,m,glad,you,re,my,friend,.,</EOS>,</EOS>
49,i,m,not,as,smart,as,tom,.,</EOS>,</EOS>
50,i,m,sick,of,your,complaints,.,</EOS>,</EOS>,</EOS>
51,we,re,all,done,this,.,</EOS>,.,</EOS>,</EOS>
52,he,s,stronger,than,strong,.,</EOS>,.,</EOS>,</EOS>
53,you,re,the,teacher,.,</EOS>,.,</EOS>,</EOS>,</EOS>
54,i,m,not,satisfied,.,</EOS>,.,</EOS>,</EOS>,</EOS>
55,he,s,greedy,and,trusting,.,</EOS>,.,</EOS>,</EOS>
56,you,re,the,oldest,.,</EOS>,.,</EOS>,</EOS>,</EOS>
57,we,re,not,going,.,</EOS>,.,</EOS>,</EOS>,</EOS>
58,you,re,a,little,liar,.,</EOS>,.,</EOS>,</EOS>
59,you,re,no,doctor,.,</EOS>,.,</EOS>,</EOS>,</EOS>
60,they,re,early,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
61,he,is,very,brave,.,</EOS>,.,</EOS>,</EOS>,</EOS>
62,i,m,happy,enough,.,</EOS>,.,</EOS>,</EOS>,</EOS>
63,she,is,japanese,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
64,i,m,the,boss,around,here,.,</EOS>,</EOS>,</EOS>
65,she,is,him,for,the,day,.,</EOS>,</EOS>,</EOS>
66,she,s,not,in,yet,.,</EOS>,.,</EOS>,</EOS>
67,he,s,my,friend,.,</EOS>,.,</EOS>,</EOS>,</EOS>
68,i,m,going,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
69,you,re,silly,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
70,we,re,finished,.,</EOS>,.,</EOS>,.,</EOS>,</EOS>
